Using device: cuda
Selected GPU: 1
Number of classes: 1000
Train samples: 12811
Train batches: 101
Total trainable parameters: 5464040
Epoch 0, Loss: 6.8840, Accuracy: 0.0028, Time: 17.59s
Epoch 1, Loss: 6.7204, Accuracy: 0.0072, Time: 16.43s
Epoch 2, Loss: 6.5559, Accuracy: 0.0083, Time: 16.39s
Epoch 3, Loss: 6.4038, Accuracy: 0.0120, Time: 16.67s
Epoch 4, Loss: 6.2806, Accuracy: 0.0133, Time: 16.42s
Epoch 5, Loss: 6.1728, Accuracy: 0.0163, Time: 16.40s
Epoch 6, Loss: 6.0456, Accuracy: 0.0216, Time: 16.44s
Epoch 7, Loss: 5.9654, Accuracy: 0.0246, Time: 16.44s
Epoch 8, Loss: 5.8775, Accuracy: 0.0294, Time: 16.50s
Epoch 9, Loss: 5.7820, Accuracy: 0.0287, Time: 16.46s
Epoch 10, Loss: 5.7058, Accuracy: 0.0358, Time: 16.35s
Epoch 11, Loss: 5.6129, Accuracy: 0.0406, Time: 16.35s
Epoch 12, Loss: 5.5501, Accuracy: 0.0416, Time: 16.36s
Epoch 13, Loss: 5.4846, Accuracy: 0.0458, Time: 16.40s
