Using device: cuda
Selected GPU: 0
Number of classes: 1000
Train samples: 25623
Train batches: 201
Total trainable parameters: 5464040
Epoch 0, Loss: 6.8347, Accuracy: 0.0041, Time: 33.27s
Epoch 1, Loss: 6.5720, Accuracy: 0.0090, Time: 31.94s
Epoch 2, Loss: 6.3354, Accuracy: 0.0131, Time: 32.15s
Epoch 3, Loss: 6.1496, Accuracy: 0.0171, Time: 31.95s
Epoch 4, Loss: 6.0109, Accuracy: 0.0226, Time: 32.18s
Epoch 5, Loss: 5.8861, Accuracy: 0.0283, Time: 32.29s
Epoch 6, Loss: 5.7768, Accuracy: 0.0341, Time: 32.00s
Epoch 7, Loss: 5.6687, Accuracy: 0.0402, Time: 32.29s
Epoch 8, Loss: 5.5683, Accuracy: 0.0444, Time: 32.23s
Epoch 9, Loss: 5.4833, Accuracy: 0.0527, Time: 32.29s
Epoch 10, Loss: 5.4185, Accuracy: 0.0563, Time: 32.29s
Epoch 11, Loss: 5.3373, Accuracy: 0.0601, Time: 32.03s
Epoch 12, Loss: 5.2446, Accuracy: 0.0651, Time: 32.48s
Epoch 13, Loss: 5.1709, Accuracy: 0.0733, Time: 31.91s
Epoch 14, Loss: 5.1105, Accuracy: 0.0770, Time: 32.13s
Epoch 15, Loss: 5.0392, Accuracy: 0.0830, Time: 32.36s
Epoch 16, Loss: 4.9760, Accuracy: 0.0898, Time: 32.09s
Epoch 17, Loss: 4.9163, Accuracy: 0.0939, Time: 32.20s
Epoch 18, Loss: 4.8520, Accuracy: 0.0991, Time: 32.12s
Epoch 19, Loss: 4.7932, Accuracy: 0.1047, Time: 32.48s
Epoch 20, Loss: 4.7343, Accuracy: 0.1104, Time: 32.27s
Epoch 21, Loss: 4.6638, Accuracy: 0.1199, Time: 31.83s
Epoch 22, Loss: 4.6123, Accuracy: 0.1254, Time: 32.01s
Epoch 23, Loss: 4.5495, Accuracy: 0.1279, Time: 32.13s
Epoch 24, Loss: 4.4921, Accuracy: 0.1380, Time: 32.23s
Epoch 25, Loss: 4.4433, Accuracy: 0.1404, Time: 32.01s
Epoch 26, Loss: 4.3865, Accuracy: 0.1469, Time: 32.07s
Epoch 27, Loss: 4.3199, Accuracy: 0.1535, Time: 32.32s
Epoch 28, Loss: 4.2831, Accuracy: 0.1554, Time: 32.12s
Epoch 29, Loss: 4.2196, Accuracy: 0.1655, Time: 31.99s
Epoch 30, Loss: 4.1707, Accuracy: 0.1688, Time: 31.92s
Epoch 31, Loss: 4.1104, Accuracy: 0.1785, Time: 32.17s
Epoch 32, Loss: 4.0654, Accuracy: 0.1841, Time: 32.28s
Epoch 33, Loss: 3.9914, Accuracy: 0.1920, Time: 32.23s
Epoch 34, Loss: 3.9496, Accuracy: 0.1986, Time: 31.98s
Epoch 35, Loss: 3.9143, Accuracy: 0.2036, Time: 32.07s
Epoch 36, Loss: 3.8465, Accuracy: 0.2101, Time: 32.13s
Epoch 37, Loss: 3.7961, Accuracy: 0.2176, Time: 32.06s
Epoch 38, Loss: 3.7475, Accuracy: 0.2240, Time: 32.06s
Epoch 39, Loss: 3.6906, Accuracy: 0.2290, Time: 32.37s
Epoch 40, Loss: 3.6543, Accuracy: 0.2364, Time: 32.33s
Epoch 41, Loss: 3.5907, Accuracy: 0.2446, Time: 32.11s
Epoch 42, Loss: 3.5374, Accuracy: 0.2541, Time: 32.02s
Epoch 43, Loss: 3.4784, Accuracy: 0.2608, Time: 32.26s
Epoch 44, Loss: 3.4452, Accuracy: 0.2614, Time: 32.40s
Epoch 45, Loss: 3.3886, Accuracy: 0.2753, Time: 32.32s
Epoch 46, Loss: 3.3464, Accuracy: 0.2762, Time: 32.02s
Epoch 47, Loss: 3.2773, Accuracy: 0.2883, Time: 32.19s
Epoch 48, Loss: 3.2390, Accuracy: 0.2977, Time: 32.31s
Epoch 49, Loss: 3.1718, Accuracy: 0.3068, Time: 32.38s
Epoch 50, Loss: 3.1345, Accuracy: 0.3130, Time: 32.15s
Epoch 51, Loss: 3.0963, Accuracy: 0.3246, Time: 31.92s
Epoch 52, Loss: 3.0376, Accuracy: 0.3282, Time: 32.18s
Epoch 53, Loss: 3.0074, Accuracy: 0.3358, Time: 32.09s
Epoch 54, Loss: 2.9462, Accuracy: 0.3457, Time: 32.07s
Epoch 55, Loss: 2.9043, Accuracy: 0.3514, Time: 31.96s
Epoch 56, Loss: 2.8746, Accuracy: 0.3585, Time: 32.05s
Epoch 57, Loss: 2.7996, Accuracy: 0.3734, Time: 32.28s
Epoch 58, Loss: 2.7560, Accuracy: 0.3758, Time: 32.12s
Epoch 59, Loss: 2.7209, Accuracy: 0.3808, Time: 32.14s
Epoch 60, Loss: 2.6875, Accuracy: 0.3891, Time: 31.97s
Epoch 61, Loss: 2.6346, Accuracy: 0.4003, Time: 32.06s
Epoch 62, Loss: 2.6012, Accuracy: 0.4073, Time: 32.32s
Epoch 63, Loss: 2.5619, Accuracy: 0.4131, Time: 31.97s
Epoch 64, Loss: 2.5204, Accuracy: 0.4178, Time: 31.95s
Epoch 65, Loss: 2.4744, Accuracy: 0.4285, Time: 32.29s
Epoch 66, Loss: 2.4309, Accuracy: 0.4390, Time: 32.15s
Epoch 67, Loss: 2.4210, Accuracy: 0.4407, Time: 32.11s
Epoch 68, Loss: 2.3750, Accuracy: 0.4543, Time: 32.10s
Epoch 69, Loss: 2.3159, Accuracy: 0.4594, Time: 32.14s
Epoch 70, Loss: 2.3013, Accuracy: 0.4658, Time: 32.31s
Epoch 71, Loss: 2.2528, Accuracy: 0.4752, Time: 32.07s
Epoch 72, Loss: 2.2217, Accuracy: 0.4831, Time: 32.16s
Epoch 73, Loss: 2.1839, Accuracy: 0.4880, Time: 31.93s
Epoch 74, Loss: 2.1577, Accuracy: 0.4923, Time: 32.34s
Epoch 75, Loss: 2.1258, Accuracy: 0.4987, Time: 32.14s
Epoch 76, Loss: 2.0807, Accuracy: 0.5117, Time: 32.43s
Epoch 77, Loss: 2.0447, Accuracy: 0.5166, Time: 32.05s
Epoch 78, Loss: 2.0257, Accuracy: 0.5234, Time: 32.06s
Epoch 79, Loss: 1.9982, Accuracy: 0.5285, Time: 32.12s
Epoch 80, Loss: 1.9643, Accuracy: 0.5388, Time: 32.18s
Epoch 81, Loss: 1.9252, Accuracy: 0.5451, Time: 31.88s
Epoch 82, Loss: 1.9118, Accuracy: 0.5480, Time: 32.08s
Epoch 83, Loss: 1.8803, Accuracy: 0.5563, Time: 32.24s
Epoch 84, Loss: 1.8472, Accuracy: 0.5672, Time: 32.15s
Epoch 85, Loss: 1.8186, Accuracy: 0.5661, Time: 32.08s
Epoch 86, Loss: 1.8085, Accuracy: 0.5676, Time: 32.12s
Epoch 87, Loss: 1.7369, Accuracy: 0.5868, Time: 32.33s
Epoch 88, Loss: 1.7358, Accuracy: 0.5892, Time: 32.21s
Epoch 89, Loss: 1.7309, Accuracy: 0.5869, Time: 31.93s
Epoch 90, Loss: 1.6849, Accuracy: 0.5994, Time: 32.15s
Epoch 91, Loss: 1.6722, Accuracy: 0.6016, Time: 32.10s
Epoch 92, Loss: 1.6474, Accuracy: 0.6075, Time: 32.08s
Epoch 93, Loss: 1.6185, Accuracy: 0.6112, Time: 32.00s
Epoch 94, Loss: 1.6083, Accuracy: 0.6150, Time: 31.88s
Epoch 95, Loss: 1.5951, Accuracy: 0.6201, Time: 32.13s
Epoch 96, Loss: 1.5505, Accuracy: 0.6278, Time: 32.13s
Epoch 97, Loss: 1.5477, Accuracy: 0.6297, Time: 32.21s
Epoch 98, Loss: 1.5046, Accuracy: 0.6392, Time: 31.99s
Epoch 99, Loss: 1.4978, Accuracy: 0.6436, Time: 32.21s
Epoch 100, Loss: 1.4918, Accuracy: 0.6459, Time: 32.31s
Epoch 101, Loss: 1.4398, Accuracy: 0.6514, Time: 32.12s
Epoch 102, Loss: 1.4590, Accuracy: 0.6510, Time: 32.14s
Epoch 103, Loss: 1.4303, Accuracy: 0.6536, Time: 32.04s
Epoch 104, Loss: 1.4101, Accuracy: 0.6647, Time: 32.15s
Epoch 105, Loss: 1.4119, Accuracy: 0.6627, Time: 32.12s
Epoch 106, Loss: 1.3661, Accuracy: 0.6723, Time: 32.06s
Epoch 107, Loss: 1.3655, Accuracy: 0.6738, Time: 32.06s
Epoch 108, Loss: 1.3420, Accuracy: 0.6789, Time: 32.19s
Epoch 109, Loss: 1.3274, Accuracy: 0.6836, Time: 32.36s
Epoch 110, Loss: 1.3076, Accuracy: 0.6873, Time: 31.94s
Epoch 111, Loss: 1.2955, Accuracy: 0.6918, Time: 32.07s
Epoch 112, Loss: 1.2820, Accuracy: 0.6942, Time: 32.13s
Epoch 113, Loss: 1.2914, Accuracy: 0.6916, Time: 32.20s
Epoch 114, Loss: 1.2719, Accuracy: 0.6958, Time: 32.15s
Epoch 115, Loss: 1.2543, Accuracy: 0.7018, Time: 32.09s
Epoch 116, Loss: 1.2423, Accuracy: 0.7043, Time: 32.19s
Epoch 117, Loss: 1.2257, Accuracy: 0.7050, Time: 32.03s
