Using device: cuda
Selected GPU: 1
Number of classes: 1000
Train samples: 12811
Train batches: 101
Total trainable parameters: 5464040
Epoch 82, Loss: 1.9414, Accuracy: 0.5484, Time: 16.60s
Epoch 83, Loss: 1.8720, Accuracy: 0.5607, Time: 16.72s
Epoch 84, Loss: 1.8522, Accuracy: 0.5652, Time: 16.49s
Epoch 85, Loss: 1.8233, Accuracy: 0.5708, Time: 16.54s
Epoch 86, Loss: 1.7841, Accuracy: 0.5828, Time: 16.54s
Epoch 87, Loss: 1.7652, Accuracy: 0.5870, Time: 16.47s
Epoch 88, Loss: 1.7270, Accuracy: 0.5911, Time: 16.55s
Epoch 89, Loss: 1.6862, Accuracy: 0.6058, Time: 16.53s
Epoch 90, Loss: 1.7025, Accuracy: 0.6037, Time: 16.55s
Epoch 91, Loss: 1.6186, Accuracy: 0.6176, Time: 16.48s
Epoch 92, Loss: 1.6012, Accuracy: 0.6225, Time: 16.83s
Epoch 93, Loss: 1.5613, Accuracy: 0.6366, Time: 16.56s
Epoch 94, Loss: 1.5579, Accuracy: 0.6321, Time: 16.56s
Epoch 95, Loss: 1.5532, Accuracy: 0.6409, Time: 16.46s
Epoch 96, Loss: 1.5513, Accuracy: 0.6376, Time: 16.56s
Epoch 97, Loss: 1.4660, Accuracy: 0.6528, Time: 16.48s
Epoch 98, Loss: 1.4339, Accuracy: 0.6621, Time: 16.43s
Epoch 99, Loss: 1.4468, Accuracy: 0.6620, Time: 16.51s
Epoch 100, Loss: 1.4186, Accuracy: 0.6712, Time: 16.48s
Epoch 101, Loss: 1.3778, Accuracy: 0.6764, Time: 16.46s
Epoch 102, Loss: 1.3824, Accuracy: 0.6719, Time: 16.45s
Epoch 103, Loss: 1.3499, Accuracy: 0.6814, Time: 16.47s
Epoch 104, Loss: 1.3867, Accuracy: 0.6803, Time: 16.54s
Epoch 105, Loss: 1.3780, Accuracy: 0.6864, Time: 16.70s
Epoch 106, Loss: 1.2928, Accuracy: 0.6934, Time: 16.61s
Epoch 107, Loss: 1.2865, Accuracy: 0.6989, Time: 16.53s
Epoch 108, Loss: 1.2351, Accuracy: 0.7086, Time: 16.63s
Epoch 109, Loss: 1.1889, Accuracy: 0.7216, Time: 16.52s
Epoch 110, Loss: 1.1962, Accuracy: 0.7175, Time: 16.56s
Epoch 111, Loss: 1.2395, Accuracy: 0.7102, Time: 16.46s
Epoch 112, Loss: 1.2335, Accuracy: 0.7113, Time: 16.66s
Epoch 113, Loss: 1.2072, Accuracy: 0.7171, Time: 16.61s
Epoch 114, Loss: 1.1668, Accuracy: 0.7248, Time: 16.53s
